PROP_NAME,LAND_SQFT,LAND_NO_SHORE_SQFT,PARCEL_DEV_SQFT,LAND_USE_CODE,LAND_USE_DESC,LAND_USE_DESC_10,ZONING,ZONELUT,MIO_BASE_ZONE,CLASS,ZONE_GEO,VILLNUMB,TRBL10,RESCAT,EMPCAT,PUB_OWN_TYPE,TAX_STATUS,SF_UNITS,MF_UNITS,EXIST_UNITS,YR_BUILT,MAXRDENS,OBS_RDENS_UNITS,RES_FAR,OBS_FAR_UNITS,RES_MAX_FAR,MAX_FAR_UNITS,MAX_RES_FL_AREA,BLDG_GRSS_SQFT,BLDG_RES_GRSSQF,BLDG_COM_GRSSQF,COMM_FAR,OBS_COMM_FL_AREA,COMM_MAX_FAR,MAX_COMM_FL_AREA,REDEV_FL_AREA,BLDG_AV,LAND_AV,LANDMARK,STAT_TYPE,RATIO,ILR,DR,RESSTAT,COMSTAT,SPLITRES,SPLITCOM,EMPL,ADJRCAP_MAXRDENS_SFL,ADJRCAP_OBS_FAR,ADJRCAP_MAX_FAR,ADJRCAP_FL_AREA_MAX
NA,4800,4800,4800,2,NA,NA,LR3,LR3,NA,L,DGA,131,7900.5003,MFM,n/a,PRIVATE,T,1,0,1,1906,670,7,1.6,8,1.6,8,7680,4060,4060,0,0,0,0,0,7680,112000,402000,NA,DR:UNITS,0.4,0.279,0.14,REDEV,UNAVAIL,1,0,0,NA,7,NA,3620
WEST COAST PRINTING,32073,32073,32073,195,NA,NA,NC2-65,NC2,NA,NC,NONE,109,9000.2032,NCH,NC,PRIVATE,T,0,0,0,1923,290,111,4.25,136,4.25,136,136310,12040,0,12040,2.5,80182,4.25,136310,136310,1000,2724300,NA,DR:SQFT,0.4,0,0.09,REDEV,REDEV,0.5,0.5,300,NA,68,NA,68155
NA,4134,4134,4134,2,NA,NA,LR3,LR3,NA,L,DGA,414.1,6500.3018,MFM,n/a,PRIVATE,T,1,0,1,1904,670,6,1.6,7,1.6,7,6614,2100,2100,0,0,0,0,0,6614,248000,336000,NA,DR:UNITS,0.4,0.738,0.17,REDEV,UNAVAIL,1,0,0,NA,6,NA,4514
Townhouse,881,881,881,29,NA,NA,LR3,LR3,NA,L,DGA,131,7600.2008,MFM,n/a,PRIVATE,T,0,1,1,2004,670,1,1.6,1,1.6,1,0,1020,1020,0,0,0,0,0,1410,273000,88000,NA,DR:UNITS,0.4,3.102,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,0
Townhouse,1298,1298,1298,29,NA,NA,LR2,LR2,NA,L,NONE,0,8800.3017,MFL,n/a,PRIVATE,T,0,1,1,2006,1110,1,1.15,1,1.15,1,1493,1590,1590,0,0,0,0,0,1493,402000,88000,NA,DR:UNITS,0.4,4.568,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,0
NA,2158,2158,2158,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,0,7600.1005,SF,n/a,PRIVATE,T,1,0,1,1906,5000,1,1,1,1,1,2158,2490,2490,0,0,0,0,0,2158,533000,223000,NA,DR:UNITS,1,2.39,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,0
NA,1264,1264,1264,29,NA,NA,LR3,LR3,NA,L,DGA,414.1,7500.1,MFM,n/a,PRIVATE,T,0,1,1,2002,670,2,1.6,2,1.6,2,2022,1540,1540,0,0,0,0,0,2022,431000,104000,NA,DR:UNITS,0.4,4.144,0.5,DEVELOPED,UNAVAIL,1,0,0,NA,1,NA,482
NA,4322,4322,4322,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,131,7600.1002,SF,n/a,PRIVATE,T,1,0,1,1909,5000,1,1,1,1,1,4322,2660,2660,0,0,0,0,0,4322,432000,244000,NA,DR:UNITS,1,1.77,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,1662
ROSEMONT APARTMENTS,11494,11494,11494,17,NA,NA,LR3,LR3,NA,L,DGA,414.1,7500.1009,MFM,n/a,PRIVATE,T,0,15,15,1981,670,17,1.6,18,1.6,18,18390,15328,15328,0,0,0,0,0,18390,1237800,1267200,NA,DR:UNITS,0.4,0.977,0.88,DEVELOPED,UNAVAIL,1,0,0,NA,3,NA,3062
CHURCH PARKING LOT,4783,4783,4783,159,NA,NA,LR3,LR3,NA,L,DGA,414.1,7500.2003,MFM,n/a,PRIVATE,X,0,0,0,0,670,7,1.6,8,1.6,8,7653,0,0,0,0,0,0,0,7653,0,528000,NA,DR:UNITS,0.4,0,0,REDEV,UNAVAIL,1,0,0,NA,8,NA,7653
NA,6801,6801,6801,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,0,7700.2009,SF,n/a,PRIVATE,T,1,0,1,1921,5000,1,1,1,1,1,6801,2260,2260,0,0,0,0,0,6801,59000,264000,NA,DR:UNITS,1,0.223,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,4541
NA,4974,4974,4974,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,109,8800.2021,SF,n/a,PRIVATE,T,1,0,1,1930,5000,1,1,1,1,1,4974,2650,2650,0,0,0,0,0,4974,338000,155000,NA,DR:UNITS,1,2.181,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,2324
NA,4000,4000,4000,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,0,7600.1001,SF,n/a,PRIVATE,T,1,0,1,1987,5000,1,1,1,1,1,4000,2320,2320,0,0,0,0,0,4000,639000,244000,NA,DR:UNITS,1,2.619,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,1680
NA,1617,1617,1617,29,NA,NA,LR1,LR1,NA,L,NONE,0,8800.3019,MFL,n/a,PRIVATE,T,0,1,1,2008,1800,1,1,2,1,2,1617,1940,1940,0,0,0,0,0,1617,397000,104000,NA,DR:UNITS,0.67,3.817,1,DEVELOPED,UNAVAIL,1,0,0,NA,1,NA,0
