GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0800000US530339292857745029206,530339292857745029206,"Census Tract 292.06 (part), Renton city (part), Seattle CCD, King County, Washington",0,12
0800000US530339292857745029303,530339292857745029303,"Census Tract 293.03 (part), Renton city (part), Seattle CCD, King County, Washington",6945,419
0800000US530339292857745029304,530339292857745029304,"Census Tract 293.04 (part), Renton city (part), Seattle CCD, King County, Washington",996,278
0800000US530339292857745029305,530339292857745029305,"Census Tract 293.05 (part), Renton city (part), Seattle CCD, King County, Washington",956,227
0800000US530339292862288026200,530339292862288026200,"Census Tract 262 (part), SeaTac city, Seattle CCD, King County, Washington",0,12
0800000US530339292862288027300,530339292862288027300,"Census Tract 273 (part), SeaTac city, Seattle CCD, King County, Washington",2691,364
0800000US530339292862288028000,530339292862288028000,"Census Tract 280 (part), SeaTac city, Seattle CCD, King County, Washington",0,12
0800000US530339292862288028100,530339292862288028100,"Census Tract 281 (part), SeaTac city, Seattle CCD, King County, Washington",1955,390
0800000US530339292862288028300,530339292862288028300,"Census Tract 283 (part), SeaTac city, Seattle CCD, King County, Washington",2961,359
0800000US530339292862288028402,530339292862288028402,"Census Tract 284.02 (part), SeaTac city, Seattle CCD, King County, Washington",4773,454
0800000US530339292862288028403,530339292862288028403,"Census Tract 284.03, SeaTac city, Seattle CCD, King County, Washington",4595,540
0800000US530339292862288028500,530339292862288028500,"Census Tract 285 (part), SeaTac city, Seattle CCD, King County, Washington",61,95
0800000US530339292862288028700,530339292862288028700,"Census Tract 287 (part), SeaTac city, Seattle CCD, King County, Washington",273,307
0800000US530339292862288028801,530339292862288028801,"Census Tract 288.01 (part), SeaTac city, Seattle CCD, King County, Washington",3168,661
0800000US530339292862288028802,530339292862288028802,"Census Tract 288.02 (part), SeaTac city, Seattle CCD, King County, Washington",6287,650
0800000US530339292862288029101,530339292862288029101,"Census Tract 291.01 (part), SeaTac city, Seattle CCD, King County, Washington",239,96
0800000US530339292863000000100,530339292863000000100,"Census Tract 1, Seattle city, Seattle CCD, King County, Washington",5495,489
0800000US530339292863000000200,530339292863000000200,"Census Tract 2, Seattle city, Seattle CCD, King County, Washington",7722,516
0800000US530339292863000000300,530339292863000000300,"Census Tract 3, Seattle city, Seattle CCD, King County, Washington",2497,154
0800000US530339292863000000401,530339292863000000401,"Census Tract 4.01, Seattle city, Seattle CCD, King County, Washington",5961,637
0800000US530339292863000000402,530339292863000000402,"Census Tract 4.02, Seattle city, Seattle CCD, King County, Washington",4514,317
0800000US530339292863000000500,530339292863000000500,"Census Tract 5, Seattle city, Seattle CCD, King County, Washington",3151,200
0800000US530339292863000000600,530339292863000000600,"Census Tract 6, Seattle city, Seattle CCD, King County, Washington",7299,490
0800000US530339292863000000700,530339292863000000700,"Census Tract 7, Seattle city, Seattle CCD, King County, Washington",4469,399
0800000US530339292863000000800,530339292863000000800,"Census Tract 8, Seattle city, Seattle CCD, King County, Washington",2710,235
0800000US530339292863000000900,530339292863000000900,"Census Tract 9, Seattle city, Seattle CCD, King County, Washington",2014,156
