GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1580000US5363000033009100,5363000033009100,"Census Tract 91, King County (part), Seattle city, Washington",1560
1580000US5363000033009200,5363000033009200,"Census Tract 92, King County (part), Seattle city, Washington",1838
1580000US5363000033009300,5363000033009300,"Census Tract 93, King County (part), Seattle city, Washington",1104
1580000US5363000033009400,5363000033009400,"Census Tract 94, King County (part), Seattle city, Washington",2679
1580000US5363000033009500,5363000033009500,"Census Tract 95, King County (part), Seattle city, Washington",2558
1580000US5363000033009600,5363000033009600,"Census Tract 96, King County (part), Seattle city, Washington",3027
1580000US5363000033009701,5363000033009701,"Census Tract 97.01, King County (part), Seattle city, Washington",3041
1580000US5363000033009702,5363000033009702,"Census Tract 97.02, King County (part), Seattle city, Washington",2314
1580000US5363000033009800,5363000033009800,"Census Tract 98, King County (part), Seattle city, Washington",3042
1580000US5363000033009900,5363000033009900,"Census Tract 99, King County (part), Seattle city, Washington",2618
1580000US5363000033010001,5363000033010001,"Census Tract 100.01, King County (part), Seattle city, Washington",1528
1580000US5363000033010002,5363000033010002,"Census Tract 100.02, King County (part), Seattle city, Washington",1840
1580000US5363000033010100,5363000033010100,"Census Tract 101, King County (part), Seattle city, Washington",2695
1580000US5363000033010200,5363000033010200,"Census Tract 102, King County (part), Seattle city, Washington",2017
1580000US5363000033010300,5363000033010300,"Census Tract 103, King County (part), Seattle city, Washington",2512
1580000US5363000033010401,5363000033010401,"Census Tract 104.01, King County (part), Seattle city, Washington",1482
1580000US5363000033010402,5363000033010402,"Census Tract 104.02, King County (part), Seattle city, Washington",1684
1580000US5363000033010500,5363000033010500,"Census Tract 105, King County (part), Seattle city, Washington",3533
1580000US5363000033010600,5363000033010600,"Census Tract 106, King County (part), Seattle city, Washington",3826
1580000US5363000033010701,5363000033010701,"Census Tract 107.01, King County (part), Seattle city, Washington",1393
1580000US5363000033010702,5363000033010702,"Census Tract 107.02, King County (part), Seattle city, Washington",1412
1580000US5363000033010800,5363000033010800,"Census Tract 108, King County (part), Seattle city, Washington",1759
1580000US5363000033010900,5363000033010900,"Census Tract 109, King County (part), Seattle city, Washington",675
1580000US5363000033011001,5363000033011001,"Census Tract 110.01, King County (part), Seattle city, Washington",1653
1580000US5363000033011002,5363000033011002,"Census Tract 110.02, King County (part), Seattle city, Washington",1298
1580000US5363000033011101,5363000033011101,"Census Tract 111.01, King County (part), Seattle city, Washington",1513
1580000US5363000033011102,5363000033011102,"Census Tract 111.02, King County (part), Seattle city, Washington",1590
1580000US5363000033011200,5363000033011200,"Census Tract 112 (part), King County (part), Seattle city, Washington",1473
1580000US5363000033011300,5363000033011300,"Census Tract 113, King County (part), Seattle city, Washington",2863
1580000US5363000033011401,5363000033011401,"Census Tract 114.01, King County (part), Seattle city, Washington",1783
1580000US5363000033011402,5363000033011402,"Census Tract 114.02, King County (part), Seattle city, Washington",1898
1580000US5363000033011500,5363000033011500,"Census Tract 115, King County (part), Seattle city, Washington",1997
1580000US5363000033011600,5363000033011600,"Census Tract 116, King County (part), Seattle city, Washington",3094
1580000US5363000033011700,5363000033011700,"Census Tract 117, King County (part), Seattle city, Washington",1728
1580000US5363000033011800,5363000033011800,"Census Tract 118, King County (part), Seattle city, Washington",2928
1580000US5363000033011900,5363000033011900,"Census Tract 119, King County (part), Seattle city, Washington",2571
1580000US5363000033012000,5363000033012000,"Census Tract 120, King County (part), Seattle city, Washington",1517
1580000US5363000033012100,5363000033012100,"Census Tract 121, King County (part), Seattle city, Washington",1235
1580000US5363000033026001,5363000033026001,"Census Tract 260.01 (part), King County (part), Seattle city, Washington",43
1580000US5363000033026400,5363000033026400,"Census Tract 264 (part), King County (part), Seattle city, Washington",0
1580000US5363000033026500,5363000033026500,"Census Tract 265 (part), King County (part), Seattle city, Washington",32
1580000US5363000033990100,5363000033990100,"Census Tract 9901 (part), King County (part), Seattle city, Washington",0
